reg_date;point;ssic_1;ssic_2;local;id
19370115;636;95;"";1;1
19370210;8;159;564;1;2
19370215;4894;801;"";1;3
19370217;11522;116;555;1;4
19370301;33;1056;"";1;5
19370407;10;1056;"";1;6
19370416;21;1056;"";"";7
19370510;8;569;828;1;8
19370521;3244;763;569;1;9
19370521;21;762;813;1;10
19370604;6042;909;"";1;11
19370619;21;1056;"";1;12
19370630;261;1056;"";1;13
19370824;295;1056;"";1;14
19370906;5099;794;"";1;15
19370927;9812;1014;"";1;16
19371011;21;1056;"";1;17
19371011;624;815;569;1;18
19371018;21;1056;"";1;19
19371021;14231;794;"";1;20
19371027;982;761;"";1;21
19371113;13003;569;"";1;22
19371115;21;90;"";1;23
19371115;887;1024;"";1;24
19371122;29;715;"";1;25
19371125;21;1056;"";1;26
19371127;12397;762;"";1;27
19371202;29;761;"";"";28
19371211;287;762;"";1;29
19371218;295;1056;"";1;30
