id;ssic;name
1;01111;Growing of leafy and fruit vegetables
2;01112;Growing of mushrooms
3;01113;Growing of root crops
4;01119;Growing of food crops (non-hydroponics) n.e.c.
5;01120;Growing of leafy and fruit vegetables (hydroponics)
6;01130;Growing of fruits
7;01141;Growing of orchids
8;01142;Growing of ornamental plants
9;01149;Growing of nursery products n.e.c.
10;01190;Growing of other crops
11;01411;Pig farms
12;01412;Cattle farms (including dairy cattle)
13;01413;Goat farms (including goat's milk production)
14;01421;Poultry breeding/hatcheries
15;01422;Broiler farms (chickens reared for meat)
16;01423;Layer farms (chickens reared for eggs)
17;01424;Duck farms
18;01491;Dog breeding
19;01492;Bird breeding
20;01493;Crocodile farms
21;01494;Frog farms
22;01499;Other animal production n.e.c.
23;01500;Growing of crops combined with animal production (mixed farming)
24;01601;Extension services (including agricultural research and experimentation)
25;01609;Agricultural and animal husbandry service activities except veterinary activities n.e.c. (e.g. pest control, collection of agricultural by-products)
26;02000;Forestry, logging and related service activities
27;03101;Fishing in kelongs
28;03102;Ocean fishing except fishing in kelongs
29;03103;Coastal fishing except fishing in kelongs
30;03109;Fishing n.e.c.
31;03201;Food fish farms
32;03202;Ornamental fish farms
33;03209;Operation of fish hatcheries and fish farms n.e.c. (including turtle, prawn, crab, mussel farms)
34;03301;Fishery research services (including experimentation and culture)
35;03309;Service activities incidental to fishing n.e.c.
36;08101;Stone quarrying
37;08102;Quarrying of sand and clay
38;08900;Other mining and quarrying
39;09001;Crude petroleum and natural gas production
40;09002;Service activities incidental to oil and gas extraction (excluding surveying and engineering design and consultancy services supporting mining, oil and gas extraction and offshore exploration activities)
41;10101;Slaughtering of livestock
42;10102;Slaughtering of poultry
43;10103;Manufacture of sausage
44;10104;Preparing, canning and preserving of livestock and livestock products (including lard and other edible animal fats)
45;10105;Preparing, canning and preserving of poultry and poultry products
46;10109;Processing and preserving of meat and meat products n.e.c.
47;10201;Canning of fish and other seafood
48;10202;Processing, curing and preserving (other than canning) of fish and other seafood
49;10301;Manufacture of jams (including fruit jelly)
50;10302;Other canning and preserving of fruits and fruit juices
51;10303;Other canning and preserving of vegetables and vegetable juices (including pickles)
52;10401;Manufacture of crude coconut oil and palm oil
53;10402;Manufacture of refined coconut oil and palm oil
54;10403;Manufacture of margarine and other edible oils
55;10404;Manufacture of inedible oils and fats
56;10409;Manufacture of vegetable and animal oils and fats n.e.c.
57;10501;Manufacture of condensed and evaporated milk (including pasteurising and bottling of fluid milk)
58;10502;Manufacture of milk powder
59;10503;Manufacture of ice-cream
60;10509;Manufacture of dairy products n.e.c. (e.g. butter, cheese, ice-cream mixes and powder, yoghurt)
61;10611;Rice milling
62;10612;Wheat milling
63;10613;Processing of pepper seeds
64;10614;Provision of milling services
65;10619;Manufacture of grain mill products n.e.c. (e.g. pop corn, pulse preparation, rolled oats)
66;10620;Manufacture of starches and starch products
67;10711;Manufacture of biscuits (including wafers and cones)
68;10712;Manufacture of bread, cakes and confectionery (excluding frozen bakery products)
69;10719;Manufacture of bakery products n.e.c.
70;10720;Manufacture of sugar and sugar products
71;10731;Manufacture of cocoa and chocolate powder from beans
72;10732;Manufacture of chocolate and chocolate products
73;10733;Manufacture of non-chocolate confectionery (e.g. sweets, toffees, crystalised fruits, chewing gums)
74;10740;Manufacture of macaroni, noodles, vermicelli and other related products
75;10750;Manufacture of cooked-food preparations (e.g. frozen dinners)
76;10761;Manufacture of instant beverages
77;10762;Processing of coffee seeds
78;10763;Manufacture of coffee powder
79;10764;Manufacture of tea (including processing of tea leaves)
80;10765;Manufacture of non-dairy creamer
81;10791;Manufacture of sauces including soya bean sauce (e.g. tomato sauce, chilli sauce)
82;10792;Manufacture of soya bean products except soya bean sauce and soya bean milk
83;10793;Manufacture and processing of spices (including curry powder and spice extracts)
84;10794;Manufacture of chips, crackers and other titbits (excluding biscuits and confectionery)
85;10799;Manufacture of other food products n.e.c. (except food chemicals and additives)
86;10800;Manufacture of prepared animal feeds (including additives for animal feed)
87;11010;Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials (including samsu and Chinese liquors)
88;11020;Manufacture of wines
89;11030;Manufacture of malt liquors and malt (e.g. beer and stout)
90;11041;Manufacture of soft drinks, production of mineral waters (including carbonated waters, soya bean milk, barley water, chrysanthemum water)
91;11042;Manufacture of cordials, syrups and composite concentrates for beverages
92;11043;Manufacture of ice except dry ice
93;12001;Manufacture of cigarettes
94;12009;Manufacture of tobacco products n.e.c. (e.g. cigars, Chinese tobacco)
95;13100;Spinning, weaving and finishing of textiles
96;13910;Manufacture of knitted and crocheted fabrics and laces
97;13921;Manufacture of curtains, pillow cases, bed sheets and bed spreads
98;13922;Manufacture of other made-up house furnishings (e.g. napkins, table cloths)
